SRR8245064	SRR8245065	SRR8245066	SRR8245067	SRR8245068	SRR8245069	SRR8245070	SRR8245071	SRR8245072	SRR8245073	SRR8245074	SRR8245075	SRR8245076	SRR8245077
ENSMUSG00000102768.2	2	0	4	0	0	7	0	0	2	0	0	0	0	0
ENSMUSG00000097797.7	2	2	6	1	0	1	1	3	6	0	5	0	4	2
ENSMUSG00000103498.2	1	0	0	3	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103067.2	1	1	0	0	3	0	3	0	0	3	0	0	4	0
ENSMUSG00000102320.2	5	0	0	0	0	2	0	0	0	0	0	0	0	0
ENSMUSG00000104226.2	2	0	7	0	3	0	3	5	2	0	4	10	0	2
ENSMUSG00000103903.2	0	0	0	1	0	0	0	3	0	0	0	0	0	0
ENSMUSG00000103557.2	0	1	7	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000025909.17	11	3	5	2	9	28	3	5	5	3	1	0	4	2
ENSMUSG00000102647.2	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000086235.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102253.2	3	1	11	5	0	1	0	1	3	0	3	0	2	9
ENSMUSG00002074990.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103884.2	9	0	4	0	0	0	5	2	2	0	1	0	0	1
ENSMUSG00000084353.2	0	0	2	1	0	3	0	2	1	0	2	0	0	0
ENSMUSG00000103933.2	0	1	1	1	2	2	1	0	0	1	1	0	1	2
ENSMUSG00002075967.1	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000086195.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104504.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000066693.3	0	0	0	0	0	0	1	0	0	0	0	0	1	0
ENSMUSG00000102316.2	2	0	0	2	2	3	2	0	0	0	0	0	2	0
ENSMUSG00000103819.2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102871.2	3	1	6	1	0	2	7	7	1	0	2	0	1	0
ENSMUSG00000101571.3	1	0	2	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000104428.2	0	0	1	0	0	4	0	0	0	0	0	0	0	0
ENSMUSG00000102272.2	3	7	7	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000065625.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103411.2	1	13	3	0	0	0	0	3	4	0	4	10	2	3
ENSMUSG00000061024.9	66	52	104	105	75	104	93	40	100	59	101	21	140	173
ENSMUSG00000025911.15	0	0	1	1	1	2	7	2	0	3	0	7	2	5
ENSMUSG00000079671.9	2	0	3	1	0	10	0	1	2	0	4	1	2	0
ENSMUSG00000081441.4	0	0	0	0	0	0	0	0	0	0	0	1	1	0
ENSMUSG00000067879.4	0	13	5	3	0	6	0	0	0	0	0	0	0	0
ENSMUSG00000099827.2	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000025912.17	6	1	6	6	2	3	2	8	2	0	4	0	0	1
ENSMUSG00000045210.9	207	260	336	337	432	329	285	277	495	410	423	401	373	393
ENSMUSG00000097893.9	29	13	30	37	71	35	61	49	51	60	52	68	46	53
ENSMUSG00000025915.15	40	28	57	19	48	9	47	42	41	109	98	107	79	62
ENSMUSG00000046334.5	1	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00002075801.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000046101.17	26	25	23	36	12	24	19	6	17	29	19	11	34	23
ENSMUSG00000098234.8	59	96	84	108	114	109	123	44	160	163	151	91	135	158
ENSMUSG00000093178.3	1	1	1	2	4	1	0	1	5	5	4	0	2	1
ENSMUSG00000099032.3	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ENSMUSG00000104025.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025916.11	0	4	0	0	0	0	0	0	1	0	1	0	1	0
ENSMUSG00000087199.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000119658.1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025917.10	145	174	154	144	160	268	159	106	194	114	168	198	191	225
ENSMUSG00000056763.17	100	85	56	82	53	67	84	50	73	82	158	12	67	86
ENSMUSG00000102356.2	0	0	1	0	0	0	3	0	1	0	0	0	0	0
ENSMUSG00000067851.12	133	214	177	133	141	210	127	205	258	223	184	115	223	157
ENSMUSG00002076532.1	2	0	0	0	0	0	0	0	0	4	0	0	0	0
ENSMUSG00000102556.2	9	15	8	2	5	17	3	11	1	3	1	0	2	5
ENSMUSG00000042501.13	9	7	9	0	2	14	3	0	0	0	0	3	9	0
ENSMUSG00000103810.2	1	0	3	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083422.2	1	0	1	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000119312.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081417.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103448.2	3	1	7	0	0	0	0	0	3	0	0	0	2	2
ENSMUSG00000100212.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100648.2	0	2	0	0	0	0	2	0	0	0	2	0	0	0
ENSMUSG00002076499.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048960.14	17	12	30	15	0	15	4	0	7	0	1	5	1	7
ENSMUSG00000077318.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101827.2	0	0	0	0	1	1	0	0	1	0	2	0	0	0
ENSMUSG00000103494.2	1	0	6	5	2	6	1	0	0	0	0	0	0	0
ENSMUSG00000057715.14	9	19	3	0	1	19	2	0	6	0	1	0	3	4
ENSMUSG00000103825.2	2	0	5	2	0	3	1	0	0	0	0	0	0	0
ENSMUSG00000099845.2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103561.2	13	8	9	3	0	5	1	0	9	0	0	0	0	3
ENSMUSG00000101610.2	0	0	2	0	0	0	1	1	0	1	1	0	0	0
ENSMUSG00000118923.1	0	0	1	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000098555.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097628.2	4	2	2	1	1	1	0	0	1	0	1	1	2	0
ENSMUSG00000098163.2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097171.2	3	0	0	3	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000101314.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000016918.16	5	1	3	0	0	1	0	1	2	0	0	0	1	0
ENSMUSG00000025938.17	8	20	13	2	0	8	2	1	0	13	1	0	7	0
ENSMUSG00000104518.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069620.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099498.2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000042414.8	0	0	0	0	0	0	7	5	2	1	1	0	0	1
ENSMUSG00000005886.15	196	118	212	240	326	298	280	374	510	435	469	608	292	336
ENSMUSG00000103506.2	1	0	5	4	4	2	5	7	21	23	11	9	5	12
ENSMUSG00000103495.2	4	32	16	9	14	9	5	1	0	7	2	0	14	21
ENSMUSG00002076346.1	0	0	0	0	0	0	0	2	0	0	0	1	4	3
ENSMUSG00000102639.2	1	7	1	1	8	3	7	4	0	5	1	1	9	0
ENSMUSG00000104170.2	8	3	3	12	21	13	10	4	20	7	19	7	5	9
ENSMUSG00000087782.3	1	1	0	0	0	0	0	0	1	1	0	0	0	0
ENSMUSG00000103085.2	22	15	21	7	23	47	14	45	23	39	26	48	16	18
ENSMUSG00000102664.2	5	0	5	2	9	6	14	8	3	16	10	10	4	9
ENSMUSG00000101476.2	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101171.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025935.11	411	426	622	503	591	665	393	358	353	342	308	232	419	417
ENSMUSG00000025937.7	42	43	85	56	85	103	106	61	51	80	30	75	41	86
ENSMUSG00000102982.2	11	0	4	1	0	8	12	12	15	5	0	0	6	4
ENSMUSG00000067813.4	5	0	0	5	0	0	2	2	0	0	0	2	1	2
ENSMUSG00000077368.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097711.2	0	0	0	1	1	1	2	0	0	0	2	2	2	3
ENSMUSG00000102166.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002075174.1	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ENSMUSG00000104209.2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025932.15	6	14	9	8	31	0	3	3	0	11	6	0	0	0
ENSMUSG00002075819.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102588.2	1	4	2	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000054493.3	1	0	3	0	6	0	1	0	0	0	2	10	0	0
ENSMUSG00000025930.7	1	0	0	1	0	0	0	0	0	0	3	1	0	0
ENSMUSG00000103492.2	7	0	1	2	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000081201.2	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000082193.2	7	7	4	4	3	2	1	1	8	8	8	9	6	7
ENSMUSG00000032769.6	12	0	17	4	2	6	9	7	1	0	1	4	0	1
ENSMUSG00000088159.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073737.4	0	2	0	1	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000092083.5	25	1	9	0	0	2	7	4	5	11	0	0	3	1
ENSMUSG00000102937.2	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ENSMUSG00000104149.2	6	0	0	0	0	0	3	0	6	0	6	0	0	2
ENSMUSG00000088829.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077377.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101652.2	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000100814.2	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ENSMUSG00000025925.15	116	94	134	68	120	171	117	130	124	73	105	119	163	126
ENSMUSG00000104379.2	0	0	1	5	0	0	0	10	4	0	0	0	5	3
ENSMUSG00000032719.5	0	2	3	5	0	0	0	6	3	0	0	0	6	0
ENSMUSG00002076565.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100652.2	1	1	0	2	1	0	0	0	0	0	1	0	0	2
ENSMUSG00000067795.14	2	0	2	0	0	4	2	0	3	0	0	0	0	0
ENSMUSG00000043716.14	2158	2203	2242	2358	2566	2273	1739	1502	3101	3104	3026	2926	3227	3476
ENSMUSG00000025921.8	9	5	9	12	26	39	34	25	25	14	14	21	23	22
