SRR8245064	SRR8245065	SRR8245066	SRR8245067	SRR8245068	SRR8245069	SRR8245070	SRR8245071	SRR8245072	SRR8245073	SRR8245074	SRR8245075	SRR8245076	SRR8245077
ENSMUSG00002075240.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065511.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106336.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076335.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027194.17	163	152	192	130	221	260	185	203	304	273	183	275	193	250
ENSMUSG00000081476.2	4	2	2	4	1	2	7	1	2	4	4	14	6	11
ENSMUSG00000045464.6	25	36	28	24	20	50	39	18	27	22	29	11	26	22
ENSMUSG00000027193.13	524	720	442	474	453	691	501	528	620	642	571	533	545	617
ENSMUSG00002076416.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083204.2	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077678.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087069.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000119846.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084906.2	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ENSMUSG00000081757.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083846.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087537.2	0	0	0	0	0	6	0	1	0	0	0	0	2	0
ENSMUSG00000104258.2	0	2	0	7	0	1	1	0	0	0	0	0	0	0
ENSMUSG00000082327.2	2	0	2	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050587.15	3	1	3	4	0	4	2	2	0	0	0	0	3	0
ENSMUSG00000091061.2	5	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000091288.2	0	14	0	0	0	0	0	0	0	0	0	0	0	8
ENSMUSG00000090449.2	1	0	7	1	0	1	0	0	0	0	0	0	0	0
ENSMUSG00002076404.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088633.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002076778.1	0	0	0	1	0	0	1	0	0	0	0	0	0	0
ENSMUSG00002076232.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082820.4	2	1	0	2	1	3	0	1	4	3	2	2	1	0
ENSMUSG00000080802.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082862.2	0	6	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000075015.4	3866	5791	4405	7185	5188	2721	4092	5237	3256	4385	4447	3598	3445	2583
ENSMUSG00000075014.2	13880	20754	15819	25024	18599	10204	14921	18799	11577	15518	15369	12489	12434	9110
ENSMUSG00000101186.2	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000084313.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082259.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084209.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082435.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094873.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000095203.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027165.17	2	0	11	0	14	12	4	3	0	0	3	1	6	1
ENSMUSG00000093614.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000032864.5	3	0	15	3	0	2	5	2	0	0	0	0	0	0
ENSMUSG00000061311.7	2	0	0	3	0	2	0	0	0	0	0	0	1	1
ENSMUSG00000027164.9	215	152	216	206	258	265	151	226	403	237	305	317	285	268
ENSMUSG00000032841.16	15	49	3	4	43	79	54	27	0	0	35	1	28	1
ENSMUSG00000087465.2	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000027163.14	40	21	29	25	27	51	33	32	39	52	43	28	51	52
ENSMUSG00000048058.18	15	7	70	18	47	22	40	1	0	0	43	0	3	7
ENSMUSG00000085417.2	4	2	17	7	14	0	4	0	0	3	7	0	0	6
ENSMUSG00000085110.2	0	43	6	1	4	0	1	0	0	0	0	0	0	0
ENSMUSG00000082328.2	4	4	3	5	4	4	6	4	8	13	10	9	7	12
ENSMUSG00000081774.2	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000027189.17	132	235	112	122	108	137	144	104	224	171	146	58	179	187
ENSMUSG00000083306.2	2	0	14	11	6	2	2	9	3	7	11	2	3	7
ENSMUSG00000075012.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027188.9	9	0	2	1	0	3	2	1	1	0	0	0	0	1
ENSMUSG00000005089.16	13	17	11	8	11	8	0	0	0	3	2	0	0	5
ENSMUSG00000087185.2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000005087.18	858	1064	1141	894	1694	1434	1876	569	748	1068	1095	832	1224	1583
ENSMUSG00000119260.1	1	3	1	0	1	0	0	0	1	2	1	1	0	0
ENSMUSG00000010914.11	53	8	53	43	29	50	51	77	37	57	23	7	81	61
ENSMUSG00000010911.13	37	44	44	22	34	69	32	21	20	24	16	1	12	30
ENSMUSG00000058281.2	0	2	0	2	0	0	0	0	1	0	0	2	0	1
ENSMUSG00000087032.2	2	0	0	1	0	3	2	1	0	0	2	0	0	0
ENSMUSG00000086957.2	0	1	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084385.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000012350.16	2	13	1	8	0	0	2	1	0	0	0	7	0	0
ENSMUSG00000087278.2	1	0	0	0	0	0	0	0	0	0	7	0	0	0
ENSMUSG00000102686.2	0	0	4	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000070794.12	0	0	2	3	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027186.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027187.11	271	384	200	291	340	403	250	302	322	318	226	210	324	335
ENSMUSG00000081687.2	3	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000032724.6	219	243	194	261	295	468	319	348	379	546	400	425	497	489
ENSMUSG00000027185.16	159	180	158	153	207	71	157	85	190	122	152	144	180	205
ENSMUSG00000027184.15	925	931	912	1044	1140	1172	1051	839	1333	1052	1051	1139	1162	1452
ENSMUSG00000086687.2	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081348.2	1	0	0	0	0	2	0	0	0	0	0	0	0	0
ENSMUSG00000081010.4	0	0	0	0	0	0	2	1	0	0	0	2	0	0
ENSMUSG00000083495.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081275.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002074920.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082845.2	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00002075518.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083643.2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084756.2	4	0	1	0	0	3	0	2	0	0	0	0	0	0
ENSMUSG00000032698.16	0	0	10	0	11	6	0	4	0	0	6	4	2	2
ENSMUSG00000046085.8	23	33	18	20	38	36	45	19	17	19	35	46	25	16
ENSMUSG00000027180.13	185	192	105	159	202	191	129	103	111	175	126	120	84	142
ENSMUSG00000087739.3	0	0	0	0	0	1	0	0	1	1	0	0	0	0
ENSMUSG00000078091.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000075006.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068686.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000032679.13	2	17	6	4	22	0	2	1	0	0	0	0	0	2
ENSMUSG00000032671.6	0	5	2	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068373.16	5	5	6	0	0	2	1	0	1	0	6	0	0	0
ENSMUSG00000089606.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087473.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002076254.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081721.4	0	2	3	2	3	8	4	1	0	2	1	3	1	4
ENSMUSG00000027177.15	53	31	59	81	71	80	78	96	108	103	132	66	103	89
ENSMUSG00000084516.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081447.2	1	0	0	0	0	1	0	0	1	1	0	0	0	1
ENSMUSG00000082379.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086454.8	1	0	0	0	0	3	0	0	0	0	0	0	0	0
ENSMUSG00000118753.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082276.2	4	0	0	0	0	0	0	2	0	0	0	0	0	0
ENSMUSG00000027176.9	82	83	67	103	94	85	125	63	159	47	46	99	78	54
ENSMUSG00000027175.11	0	0	1	2	8	15	1	3	6	6	0	0	0	8
ENSMUSG00000074997.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027173.8	5	0	9	4	0	5	6	11	0	0	0	0	0	10
ENSMUSG00000074994.7	29	0	15	6	3	14	24	0	15	51	63	1	15	30
ENSMUSG00000083856.2	0	0	0	0	0	0	2	0	0	0	0	0	1	0
ENSMUSG00000027171.11	11	0	8	11	32	12	4	0	24	46	37	67	37	22
ENSMUSG00000045106.13	45	45	40	45	41	55	29	28	52	36	29	75	45	48
ENSMUSG00000082934.2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027170.13	660	559	703	631	679	679	549	416	804	642	879	709	833	925
ENSMUSG00000083487.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074987.10	0	1	4	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000079175.2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002076399.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002076543.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002076199.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002075028.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000016458.16	0	0	1	2	0	0	0	2	1	0	0	0	0	1
ENSMUSG00000055312.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000005973.7	106	65	108	115	80	245	132	39	87	84	85	134	117	330
ENSMUSG00000086764.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086029.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081701.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000080859.2	5	3	7	3	4	5	2	0	4	4	5	4	7	5
ENSMUSG00000102424.3	2	1	0	0	0	0	0	1	0	0	2	0	0	0
ENSMUSG00000027168.22	0	0	0	1	0	9	1	6	0	10	0	8	0	1
ENSMUSG00000027167.12	24	37	40	39	27	31	28	38	21	40	38	1	20	36
ENSMUSG00000084870.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000042670.6	48	66	67	67	53	85	105	40	79	76	35	33	64	58
ENSMUSG00000027166.15	45	69	49	61	53	41	65	25	43	45	55	9	37	58
ENSMUSG00002076743.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002076573.1	0	0	1	0	0	0	0	1	0	0	0	0	1	0
ENSMUSG00000074981.14	15	1	8	3	0	2	0	0	0	0	0	0	2	0
ENSMUSG00000083425.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100156.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081258.2	1	4	0	2	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087226.2	0	0	0	1	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000087225.2	2	0	4	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085218.8	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000016386.16	4	15	1	0	0	0	0	2	0	3	0	0	0	0
ENSMUSG00000105886.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002076583.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085530.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084164.2	0	7	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027122.16	60	64	81	44	115	98	95	49	74	67	52	50	106	112
ENSMUSG00000081966.2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082066.2	1	1	0	0	1	1	1	1	0	1	2	2	1	1
ENSMUSG00000027120.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089408.4	1	0	4	1	0	2	0	0	0	0	0	0	4	0
ENSMUSG00000083181.2	0	0	1	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000042604.6	5	15	2	0	2	5	2	2	2	0	0	0	0	0
ENSMUSG00000052005.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000118714.1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077411.3	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ENSMUSG00000086758.2	0	0	2	2	0	0	3	1	0	0	0	0	6	3
ENSMUSG00000083590.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082113.2	1	0	1	0	0	1	1	1	0	0	0	0	0	4
ENSMUSG00000083347.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083697.2	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000083424.4	0	0	0	0	0	0	1	0	0	0	0	0	0	2
ENSMUSG00000063684.10	6	4	8	5	4	11	6	7	10	10	7	5	2	10
ENSMUSG00000087544.2	1	0	2	3	5	1	0	0	0	0	0	0	0	1
ENSMUSG00000057234.10	21	20	33	17	34	33	18	10	32	28	49	17	38	43
ENSMUSG00002074908.1	0	0	1	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000027115.15	19	15	27	50	3	33	21	11	30	0	72	27	17	12
ENSMUSG00000084167.2	1	0	0	3	0	2	4	0	0	0	0	0	0	0
ENSMUSG00000081746.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000109604.2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093410.2	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048482.15	6	9	6	2	5	31	93	1	0	1	0	0	1	66
ENSMUSG00000083915.2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027162.8	238	174	202	207	184	354	215	170	275	317	321	258	269	340
ENSMUSG00000063751.7	0	0	0	0	0	1	0	0	0	2	8	0	0	0
ENSMUSG00000050199.14	2	13	15	1	2	6	4	0	0	9	1	3	4	10
ENSMUSG00000027160.17	17	48	19	9	20	25	33	11	14	11	7	3	4	27
ENSMUSG00000086186.2	0	1	3	0	0	4	0	0	0	0	0	0	0	0
ENSMUSG00000085444.2	3	2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082512.2	1	1	0	2	0	1	0	0	0	1	0	0	0	0
ENSMUSG00000118908.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041660.9	2	0	7	2	1	0	1	1	0	0	0	0	1	0
ENSMUSG00000074971.5	2	0	1	0	0	0	0	0	0	4	0	0	0	0
ENSMUSG00000083320.2	3	3	1	1	1	1	1	2	0	0	2	1	0	2
ENSMUSG00000074970.2	0	0	2	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000041644.15	8	4	7	8	2	3	13	11	2	0	2	0	3	1
ENSMUSG00000074968.12	15	15	13	11	9	6	7	4	0	0	4	1	2	0
ENSMUSG00000050808.14	7	0	1	1	0	0	1	0	0	0	1	0	1	0
ENSMUSG00000079171.4	0	0	1	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000079170.4	2	0	2	3	0	2	3	2	1	0	0	2	0	0
ENSMUSG00000079169.4	0	0	0	0	0	0	0	0	1	0	0	0	1	0
ENSMUSG00000027157.11	11	0	0	4	2	1	1	2	0	0	5	7	1	0
ENSMUSG00000084094.2	2	0	1	1	4	1	5	0	0	1	1	17	0	0
ENSMUSG00000074966.6	1	0	4	7	1	0	0	1	3	0	0	0	0	0
ENSMUSG00000084933.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000063844.6	11	2	2	6	0	4	5	3	2	0	0	0	8	0
ENSMUSG00000074965.6	5	5	1	5	5	11	2	0	0	0	0	0	0	0
ENSMUSG00000068647.3	9	0	10	3	0	3	0	4	0	0	1	7	0	0
ENSMUSG00000109813.3	1	5	2	3	0	9	0	2	0	0	2	0	2	0
ENSMUSG00000109449.4	10	0	12	0	0	20	1	3	17	0	0	0	1	2
ENSMUSG00000095156.3	2	4	1	1	0	2	0	0	2	0	0	0	2	1
ENSMUSG00000096554.2	1	0	4	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000109322.3	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000108931.3	9	9	4	0	0	5	3	0	0	0	0	0	0	0
ENSMUSG00000109521.4	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000096703.4	3	0	2	1	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000095586.2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000044039.5	8	0	0	0	0	1	1	0	0	0	0	0	0	0
ENSMUSG00000061195.9	11	25	8	4	0	3	3	0	0	1	0	0	0	1
ENSMUSG00000095809.4	5	12	3	4	0	6	2	0	0	0	0	0	0	0
ENSMUSG00000108891.5	31	0	19	6	0	3	1	7	2	3	0	0	7	1
ENSMUSG00000094074.2	0	0	2	0	0	1	0	0	0	0	1	0	0	0
ENSMUSG00000108908.5	4	0	0	1	1	10	0	0	3	0	0	0	0	2
ENSMUSG00000109287.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000109547.3	4	0	0	6	0	2	1	0	0	0	0	0	0	0
ENSMUSG00000108919.4	3	5	5	3	0	11	5	3	4	7	3	0	0	0
ENSMUSG00000096690.2	5	0	0	0	2	6	0	3	2	0	0	0	1	0
ENSMUSG00000094858.4	3	3	5	1	0	4	0	0	0	0	2	0	0	1
ENSMUSG00000109487.4	7	5	2	0	0	0	0	1	4	0	1	0	0	0
ENSMUSG00000109219.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000109071.2	0	0	3	0	0	0	0	0	0	0	2	0	0	0
ENSMUSG00000109389.2	6	7	3	0	2	0	0	0	0	0	0	0	0	0
ENSMUSG00000082091.2	3	0	1	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000084134.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000057149.5	3	1	2	6	0	0	2	6	3	0	3	0	1	2
ENSMUSG00000044560.4	0	0	1	2	0	2	0	0	1	0	0	0	0	0
ENSMUSG00000093804.4	9	0	6	3	0	10	0	3	0	0	0	0	0	0
ENSMUSG00000109423.2	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000119226.1	0	0	0	0	0	1	0	0	0	0	0	1	0	0
ENSMUSG00000083059.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074955.4	4	0	3	0	0	0	1	5	0	0	0	0	0	0
ENSMUSG00000096566.3	1	3	1	1	0	0	0	1	0	0	0	0	3	1
ENSMUSG00000081069.2	0	0	0	3	0	7	0	0	0	0	0	0	0	0
ENSMUSG00000094747.4	8	0	6	5	6	4	7	1	0	1	1	17	0	4
ENSMUSG00000074952.4	0	0	0	0	0	2	0	0	0	0	0	0	2	0
ENSMUSG00000109528.3	12	0	9	7	0	1	2	6	0	0	0	0	0	0
ENSMUSG00000081037.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000108827.4	13	1	9	5	0	5	0	0	1	0	0	0	0	0
ENSMUSG00000109403.3	4	13	5	1	0	3	0	1	0	0	0	0	0	1
ENSMUSG00000074947.4	17	3	7	1	1	9	3	1	1	0	2	1	2	2
ENSMUSG00000074946.6	9	0	6	3	0	0	0	2	1	0	0	0	0	1
ENSMUSG00000074945.4	4	1	0	0	0	0	6	2	0	0	0	0	0	0
ENSMUSG00000109033.3	1	3	2	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000109801.3	7	0	1	4	3	2	0	2	3	0	1	0	3	1
ENSMUSG00000050776.4	4	0	1	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000049758.8	3	11	4	1	0	0	6	1	0	0	2	0	0	1
ENSMUSG00000109522.2	2	0	0	0	0	0	0	0	2	0	0	0	0	0
ENSMUSG00000027134.5	54	71	18	42	44	54	34	32	37	32	67	31	72	44
ENSMUSG00000041358.2	0	0	1	0	0	0	0	6	0	0	0	9	0	3
ENSMUSG00000027133.4	194	194	271	218	227	274	257	187	205	218	152	163	250	300
ENSMUSG00000027130.16	106	73	84	99	180	136	111	122	167	153	138	89	105	124
ENSMUSG00000096764.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027131.4	154	119	123	114	122	227	145	120	173	109	127	235	122	172
ENSMUSG00000027132.4	59	44	42	32	47	78	42	26	34	36	59	12	55	53
ENSMUSG00000081541.2	9	0	7	9	5	6	5	14	10	9	15	4	10	10
ENSMUSG00000055943.6	222	202	169	173	219	260	193	186	120	197	176	290	182	262
ENSMUSG00002075416.1	1	0	0	0	0	0	0	0	0	0	0	2	0	1
ENSMUSG00000074939.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000003604.15	6	32	7	13	9	14	14	20	39	70	32	68	80	15
ENSMUSG00000080622.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002074904.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000057378.16	35	41	24	11	27	31	19	13	19	27	17	45	27	8
ENSMUSG00000041255.3	0	0	1	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000093660.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000044042.20	9	11	7	2	1	7	3	2	5	0	4	3	2	2
ENSMUSG00000084391.2	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000085448.2	2	0	5	0	0	2	0	0	0	0	0	0	0	0
ENSMUSG00000087545.2	0	0	0	0	0	0	2	0	1	0	1	0	0	0
ENSMUSG00002075162.1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000087106.2	5	10	5	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000084798.2	4	11	3	0	0	9	1	0	0	0	0	0	0	0
ENSMUSG00000074934.4	3	7	41	0	0	9	63	0	0	0	0	0	0	18
ENSMUSG00000023236.8	0	0	0	2	0	0	0	5	2	0	7	22	9	0
ENSMUSG00000041219.15	35	70	41	31	21	206	36	42	44	28	10	0	10	23
ENSMUSG00000096006.2	0	0	4	2	1	4	4	1	0	0	1	1	0	0
ENSMUSG00000068615.5	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000092201.8	2	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000087694.9	0	0	2	11	0	14	0	0	0	0	0	0	0	0
ENSMUSG00000068614.8	1	1	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000092397.8	0	0	0	0	0	6	0	0	0	0	0	0	0	0
ENSMUSG00000040383.17	137	98	154	229	188	266	179	221	227	266	289	106	258	233
ENSMUSG00000098464.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000040321.4	19	35	9	22	0	6	9	10	18	0	20	20	5	1
ENSMUSG00002075961.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101266.2	1	0	6	0	0	1	3	0	0	0	0	1	0	0
ENSMUSG00000057147.14	71	87	84	65	66	71	113	36	77	253	164	41	120	150
ENSMUSG00000084785.2	0	0	12	0	0	0	1	0	0	0	5	4	2	2
ENSMUSG00000082997.2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085222.2	2	0	8	2	0	0	0	1	0	0	0	0	0	4
ENSMUSG00000101448.2	1	0	1	0	0	0	0	0	0	0	2	0	0	1
ENSMUSG00000099361.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084222.2	0	0	4	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099802.2	1	0	0	5	0	1	0	0	0	0	0	0	0	2
ENSMUSG00000087309.2	0	3	3	1	0	0	1	1	0	0	0	0	0	0
ENSMUSG00000086197.2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085582.8	0	8	2	1	0	0	2	0	0	0	0	0	0	0
ENSMUSG00000086735.2	14	0	8	3	3	0	4	0	0	2	0	13	0	0
ENSMUSG00000040282.14	35	121	43	34	66	62	26	29	37	60	61	5	28	38
ENSMUSG00000088606.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027210.21	11	16	5	0	2	7	13	14	0	0	0	0	1	11
ENSMUSG00000086328.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086308.2	8	0	11	1	0	10	0	16	1	0	0	0	1	1
ENSMUSG00000103562.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081787.2	1	0	1	2	1	3	2	1	1	0	1	1	0	0
ENSMUSG00000086462.2	7	1	4	4	0	1	0	1	0	0	0	0	0	0
ENSMUSG00000027355.16	1	0	1	0	0	1	0	2	0	1	0	0	0	1
ENSMUSG00000085316.2	0	0	0	0	0	0	0	0	4	0	0	0	0	0
ENSMUSG00002076462.1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000065794.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099470.2	2	1	2	0	0	0	3	1	1	0	0	0	0	0
ENSMUSG00000074930.6	0	1	0	0	0	0	0	1	0	1	0	1	0	1
ENSMUSG00000027351.15	12	34	11	29	19	74	46	4	0	24	24	0	9	33
ENSMUSG00000076376.3	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000081842.2	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ENSMUSG00000065845.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027349.6	17	12	13	18	5	34	24	9	27	21	11	7	13	20
ENSMUSG00000027347.19	680	483	536	776	500	648	571	677	839	699	559	544	617	507
ENSMUSG00000085681.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101394.2	1	0	5	0	0	1	5	4	0	0	0	0	3	0
ENSMUSG00000086203.2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086221.2	2	0	2	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000087203.8	5	14	1	0	0	1	3	0	1	0	0	0	5	2
ENSMUSG00000103266.2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077359.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
